Empirical likelihood confidence intervals for response mean with data missing at random||LIUGEN XUE
Energy concentration for almost harmonic maps and the Willmore functional||Roger Moser
Topological Degree for a Mean Field Equation on Riemann Surfaces||Chiun-Chuan Chen,Chang-Shou Lin
Adaptive eigenspace method for inverse scattering problems in the frequency domain||Marcus J Grote,Marie Kray,Uri Nahum
Wave packet analysis of Schr?dinger equations inanalytic function spaces||Elena Cordero,Fabio Nicola,Luigi Rodino
Navier–Stokes equations and nonlinear heat equations in modulation spaces with negative derivative indices||Tsukasa Iwabuchi
Finite Fields: Theory and Computation||Shparlinski Igor E
LU-factorization versus Wiener-Hopf factorization for Markov chains||Vigon Vincent
Decay rates for quasi-birth-and-death processes with countably many phases and tridiagonal block generators||Allan J. Motyer,Peter G. Taylor
Second-order Markov reward models driven by QBD processes||Bean Nigel G,O'Reilly Ma,Gorzata M,Ren Yong
Relativistic symmetries in nuclei and hadrons||Joseph N. Ginocchio
Robust multispectral transparency in continuous metal film structures via multiple near-field plasmon coupling by a finite-difference time-domain method||Liu GQ,Hu Y,Liu ZQ,Chen YH,Cai ZJ
Are Classical Molecular Mechanics Calculations Still useful in Bioinorganic Simulations?||Marc Zimmer
Unusual thermodynamic properties and nonergodicity in ferroelectric superlattices||Kornev IA,Bellaiche L
Triangulating the Galaxy||James J. Binney
Photochromic organic–inorganic hybrid materials||Pardo R,Zayat M,Levy D
Luminescent Functional Metal-Organic Frameworks||Yuanjing Cui,Yanfeng Yue,Guodong Qian,Banglin Chen
Defect-related luminescent materials: synthesis, emission properties and applications||Zhang C,Lin J
Effect of Hydrogen Bonds on pKa Values: Importance of Networking||Shokri A,Abedin A,Fattahi A,Kass SR
Ruthenium-catalyzed azide alkyne cycloaddition reactions: scope, mechanism, and applications||Johansson JR,BekeSomfai T,Said Stålsmeden A,Kann N
Chemical Probes for Molecular Imaging and Detection of Hydrogen Sulfide and Reactive Sulfur Species in Biological Systems||Lin VS,Chen W,Xian M,Chang CJ
Synthesis and Applications of tert-Butanesulfinamide||Robak MT,Herbage MA,Ellman JA
C2-Symmetric Chiral Bis(oxazoline) Ligands in Asymmetric Catalysis||Giovanni Desimoni,Giuseppe Faita,Karl Anker Joergensen
Modern Organic Synthesis with α.Diazocarbonyl Compounds||Alan Ford,Hugues Miel,Aoife Ring,Catherine N. Slattery,Anita R. Maguire
Importance of Ligand Exchanges in Pd(II)-Br?nsted Acid Cooperative Catalytic Approach to Spirocyclic Rings||Garima Jindal,Raghavan B. Sunoj
Hollow Nanocrystals through the Nanoscale Kirkendall Effect||Wenshou Wang,Michael Dahl,Yadong Yin
Decamethyldizincocene, a Stable Compound of Zn(I) with a Zn–Zn Bond||Resa I,Carmona E,GutierrezPuebla E,Monge A
Zinc-Zinc Bonds: A New Frontier||Gerard Parkin
Au@TiO2 Yolk–shell Hollow Spheres for Plasmon Induced Photocatalytic Reduction of CO2 to Solar Fuel via a Local Electromagnetic Field||Tu W,Zhou Y,Li H,Li P,Zou Z
Interfacial molecular recognition of non-surface-active species at Langmuir monolayers||D. Vollhardt
Optical chirality sensing using macrocycles,synthetic and supramolecular oligomers/polymers, and nanoparticle based sensors||Chen Z,Wang Q,Wu X,Li Z,Jiang YB
Measuring Single Small Molecule Binding via Rupture Force of a Split Aptamer||Nguyen TH,Steinbock LJ,Butt HJ,Helm M,Berger R
Chemical Design of Nanoparticle Probes for High-Performance Magnetic Resonance Imaging||Jun YW,Lee JH,Cheon J
Aqueous Synthesis of Glutathione-Capped ZnSe and Zn1–xCdxSe Alloyed Quantum Dots||Zheng Y,Yang Z,Ying J.&thinsp;Y
Designer Polymer–Quantum Dot Architectures||Nikodem Tomczak,Dominik Jańczewski,Mingyong Han,G. Julius Vancso
Enantioselective Hydrogenation of Isoquinolines||Zhao D,Glorius F
Sequential C-H Arylation and Enantioselective Hydrogenation Enables Ideal Asymmetric Entry to the Indenopiperidine Core of an 11β-HSD?1 Inhibitor||Xudong Wei,Bo Qu,Xingzhong Zeng,Jolaine Savoie,Keith R. Fandrick
Synthesis of Spirocyclic Indolenines||James MJ,O'Brien P,Taylor RJ,Unsworth WP
Chiral Bronsted acids in enantioselective carbonyl activations - activation modes and applications||Rueping M,Kuenkel A,Atodiresei I
Chiral Sulfonimide as a Bronsted Acid Organocatalyst for Asymmetric Friedel-Crafts Alkylation of Indoles with Imines||Chen LY,He H,Chan WH,Lee AW
Tandem Catalysis Utilizing Olefin Metathesis Reactions||Zieliński GK,Grela K
Biofouling resistance of reverse osmosis membrane modified with polydopamine||Hamed Karkhanechi,Ryosuke Takagi,Hideto Matsuyama
Synthesis and Characterization of Aminopropyltriethoxysilane-Polydopamine Coatings||Knorr DB,Tran NT,Gaskell KJ,Orlicki JA,Woicik JC
Graphitic Carbon Nitride (g-C3N4)-Based Photocatalysts for Artificial Photosynthesis and Environmental Remediation: Are We a Step Closer To Achieving Sustainability?||WeeJun Ong,LlingLling Tan,Yun Hau Ng,SiekTing Yong,SiangPiao Chai
Ionic liquids as amphiphile self-assembly media||Greaves TL,Drummond CJ
The use of nanoparticles in electroanalysis: a review||Christine M. Welch,Richard G. Compton
Photogeneration and reactivity of naphthoquinone methides as purine selective DNA alkylating agents||Verga D,Nadai M,Doria F,Percivalle C,Di Antonio M
Nickel Homeostasis and Nickel Regulation: An Overview||Li Y,Zamble DB
Do the Structural Changes Defined by the Electron Density Topology Necessarily Affect the Picture of the Bonding?||Robert Ponec,Carlo Gatti
Statics and Dynamics of Ferroelectric Domains in Diisopropylammonium Bromide||Lu Haidong,Li Tao,Poddar Shashi,Goit Om,Lipatov Alexey
There’s Room in the Middle||Anthony K. Cheetham,C. N. R. Rao
Collective In-Plane Molecular Rotator Based on Dibromoiodomesitylene π?Stacks||Junichi Ichikawa,Norihisa Hoshino,Takashi Takeda,Tomoyuki Akutagawa
Materials-based approaches to minimizing solvent usage in analytical sample preparation||Zhenzhen Huang,Hian Kee Lee
Separation of Hexane Isomers in a Metal-Organic Framework with Triangular Channels||Herm ZR,Wiers BM,Mason JA,van Baten JM,Hudson MR
Porous Nanosized Particles: Preparation, Properties, and Applications||Valentin Valtchev,Lubomira Tosheva
Mn-doped ZnS quantum dots for the determination of acetone by phosphorescence attenuation||Sotelo-Gonzalez E,Fernandez-Argüelles MT,Costa-Fernandez JM,Sanz-Medel A
Tosylhydrazones: New Uses for Classic Reagents in Palladium-Catalyzed Cross-Coupling and Metal-Free Reactions||Barluenga J,Valdés C
Acyl-Carbene and Methyl-Carbene Coupling via Migratory Insertion in Palladium Complexes||Isabel Meana,Ana C. Albéniz,Pablo Espinet
Progress in enzyme immobilization in ordered mesoporous materials and related applications||Zhou Z,Hartmann M
Semiconductor quantum dots for bioanalysis||Gill R,Zayats M,Willner I
A genetically targetable near-infrared photosensitizer||He J,Wang Y,Missinato MA,Onuoha E,Perkins LA
A highly thermally stable ferroelectric metal–organic framework and its thin film with substrate surface nature dependent morphology||Pan C,Nan J,Dong X,Ren XM,Jin W
True negative thermal expansion in Mn-doped LaCu3Fe4O12 perovskite oxides||Ikuya Yamada,Shohei Marukawa,Makoto Murakami,Shigeo Mori
One-dimensional nanostructures of ferroelectric perovskites||R&oslash;rvik Per Martin,Grande Tor,Einarsrud Mari‐Ann
Multi-Scale Systems Engineering for Energy and the Environment: Challenges and Opportunities||Floudas Christodoulos A,Niziolek Alexander M,Onel Onur,Matthews Logan R
Catalytic steam reforming of biomass tar: Prospects and challenges||Guan GuoQing,Kaewpanha M,Hao XiaoGang,Abudula A
Effect of pyrolysis temperature on lignite char properties and slurrying ability||Yan Li,Zhi-Hua Wang,Zhen-Yu Huang,Jian-Zhong Liu,Jun-Hu Zhou
Conjugated polyelectrolytes as fluorescent sensors||Yan Liu,Katsu Ogawa,Kirk S. Schanze
Recent advances on polyoxometalate-based molecular and composite materials||Song YF,Tsunashima R
Graphene nanosheet: synthesis, molecular engineering, thin film, hybrids, and energy and analytical applications||Guo S,Dong S
