Efficiency bounds for missing data models with semiparametric restrictions||Bryan S. Graham
Efficient Estimation of Population-Level Summaries in General Semiparametric Regression Models||Arnab Maity,Yanyuan Ma,Raymond J Carroll
Partially linear models with missing response variables and error-prone covariables||Hua Liang,Suojin Wang,Raymond J. Carroll
Empirical likelihood for estimating equations with missing values||Dong Wang,Song Xi Chen
Empirical likelihood confidence intervals for response mean with data missing at random||LIUGEN XUE
Empirical Likelihood Inference in Nonlinear Errors-in-Covariables Models With Validation Data||Winfried Stute,Liugen Xue,Lixing Zhu
Robust techniques for measurement error correction: a review||Annamaria Guolo
High-dimensional semi-supervised learning via a fusion-refinement procedure||Lei Zhikun,Li Renfu,Sherry Ni Xuelei,Huo Xiaoming
Flowing maps to minimal surfaces||Melanie Rupflin,Peter M. Topping
Flowing maps to minimal surfaces: Existence and uniqueness of solutions||Melanie Rupflin
Energy concentration for almost harmonic maps and the Willmore functional||Roger Moser
Decay estimates for Rivi¨¨re's equation, with applications to regularity and compactnes||Sharp Ben,Topping Peter
Geometry and nonlinear analysis||
Topological Degree for a Mean Field Equation on Riemann Surfaces||Chiun-Chuan Chen,Chang-Shou Lin
Existence of conformal metrics with constant Q-curvature||Zindine Djadli,Andrea Malchiodi
Kobayashi-Hitchin correspondence for tame harmonic bundles and an application||Takuro Mochizuki
The Finite Element Method and Its Reliability||Babuška Ivo,Strouboulis Theofanis
ReALE: A reconnection-based arbitrary-Lagrangian-Eulerian method||Loub,re Rapha,Maire Pierre-Henri,Shashkov Mikhail,Breil J
Function, Gradient and Hessian Recovery Using Quadratic Edge-Bump Functions||Ovall Jeffrey S
A two-grid discretization method for decoupling systems of partial differential equation||Jin Jicheng,Shu Shi,Xu Jinchao
Is 2k-Conjecture Valid for Finite Volume Methods?||Waixiang Cao,Zhimin Zhang,Qingsong Zou
An Hp-Version Discontinuous Galerkin Method for Intergro- Differential Equations of Parabolic Type||K. Mustapha,H. Brunner,H. Mustapha,D. Sch?tzau
Robust Numerical Methods for Singularly Perturbed Differential Equations||Hans-Görg Roos,Martin Stynes,Lutz Tobiska
A unifying theory of a posteriori error control for nonconforming finite element methods||C. Carstensen,Jun Hu
On CIS circulants||
On the parameterized intractability of motif search problems||
